Parameter C : 0.01778279410038923, Parameter gamma : 0.31622776601683794, Parameter coef0 : 100.0, Parameter degree : 3, acc : 97.48
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.66
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 2, acc : 98.14
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.66
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.89999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.1
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.58
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.82
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 98.11999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.56
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.92
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 2, acc : 98.08
Parameter C : 0.01778279410038923, Parameter gamma : 5.623413251903491, Parameter coef0 : 100.0, Parameter degree : 3, acc : 98.08
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 1, acc : 96.17999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 2, acc : 98.2
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.54
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 96.39999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 98.08
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.58
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 96.28
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 98.04
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.61999999999999
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 1, acc : 96.26
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 2, acc : 98.2
Parameter C : 0.01778279410038923, Parameter gamma : 100.0, Parameter coef0 : 100.0, Parameter degree : 3, acc : 97.72
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 1, acc : 93.76
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 2, acc : 51.959999999999994
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 3, acc : 28.560000000000002
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 93.78
Parameter C : 0.31622776601683794, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 79.80000000000001
